Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,price_per_kg,total_revenue,discountValue
Personal Care,Dove Dryness Care Shampoo,26800,5,1,25200,340,False,340,74117.64705882354,25200,1600
Personal Care,Dove Hair Fall Rescue Shampoo,28000,15,6,23600,340,False,340,69411.76470588235,141600,4400
Personal Care,Head & Shoulders Anti Dandruff Shampoo Cool Menthol,29500,9,6,26600,340,False,340,78235.29411764706,159600,2900
Personal Care,Bombay Shaving Company Defender Razor,34500,0,6,34500,58,False,1,594827.5862068965,207000,0
Personal Care,"Head & Shoulders Shampoo + Conditioner - 2-In-1, Cool Menthol",36500,0,1,36500,340,False,340,107352.94117647059,36500,0
Personal Care,Himalaya Baby Nourishing Massage Oil,20000,20,2,16000,200,False,250,80000.0,32000,4000
Personal Care,Himalaya Baby Powder,23500,20,6,18800,400,False,400,47000.0,112800,4700
Personal Care,Fogg Paradise Fragrant Body Spray For Women ,25000,0,6,25000,150,False,150,166666.66666666666,150000,0
Personal Care,Revive Revive Liquid,7100,0,6,7100,200,False,200,35500.0,42600,0
Personal Care,Pantene Hairfall Control Conditioner,19000,6,6,17800,200,False,200,89000.0,106800,1200
Personal Care,Mamaearth Vitamin C Face Toner,39900,0,1,39900,200,False,200,199500.0,39900,0
Personal Care,Himalaya Diaper Rash Cream,8000,10,2,7200,20,False,20,360000.0,14400,800
Personal Care,Fogg Royal Fragrance Spray,23000,0,4,23000,150,False,120,153333.33333333334,92000,0
Personal Care,Dove Pink Rosa Beauty Bathing Bar,24500,9,6,22100,100,False,100,221000.0,132600,2400
Personal Care,Dove Dryness Care Conditioner Frizzy & Dry Hair,9000,6,4,8400,80,False,80,105000.0,33600,600
Personal Care,Dettol Original Liquid Handwash Refill,10900,3,0,10500,750,True,750,14000.0,0,400
Personal Care,Parachute 100% Pure Coconut Oil,12300,0,0,12300,300,True,300,41000.0,0,0
Personal Care,Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings,3000,3,0,2900,406,True,7,7142.857142857143,0,100
Personal Care,Dabur Gulabari Premium Rose Water,4800,2,0,4700,120,True,120,39166.666666666664,0,100
Personal Care,Parachute Advansed Gold Coconut Hair Oil,21500,9,0,19400,400,True,400,48500.0,0,2100
Personal Care,Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot,9000,10,0,8100,150,True,150,54000.0,0,900
Personal Care,Godrej No.1 Bathing Soap – Lime & Aloe Vera,10000,16,0,8400,500,True,100,16800.0,0,1600
Personal Care,Sensodyne Sensitive Fresh Gel Toothpaste,11500,7,0,10600,75,True,75,141333.33333333334,0,900
Personal Care,Whisper Bindazzz Nights XL + Sanitary Pad,9000,0,0,9000,406,True,7,22167.487684729065,0,0
Personal Care,Whisper Choice Sanitary Pad ,3200,9,0,2900,406,True,7,7142.857142857143,0,300
Personal Care,"Godrej No.1 Bathing Soap, Jasmine",8400,0,0,8400,400,True,100,21000.0,0,0
Personal Care,Gillette Venus Close & Clean Razor ,24900,7,0,23000,58,True,1,396551.7241379311,0,1900
Personal Care,Whisper Choice Regular Sanitary Pads,9000,3,0,8700,58,True,20,150000.0,0,300
Personal Care,Stayfree Secure Dry Cover Extra Large Sanitary Pad,4200,2,0,4100,406,True,7,10098.522167487685,0,100
Personal Care,Oxylife Natural Radiance 5 Creme Bleach - With Active Oxygen,8200,9,0,7400,27,True,27,274074.0740740741,0,800
Personal Care,Clean & Clear Morning Energy Lemon Face Wash,14500,9,0,13100,100,True,100,131000.0,0,1400
Personal Care,Bajaj Almond Drops Hair Oil,6700,10,0,6000,100,True,100,60000.0,0,700
Personal Care,Bajaj Almond Drops Hair Oil Bottle,13000,7,0,12000,200,True,200,60000.0,0,1000
Personal Care,Whisper Bindazzz Night Sanitary Pads XL Plus,18500,0,0,18500,870,True,15,21264.367816091955,0,0
Personal Care,Godrej Cinthol Lime Refreshing Deo Soap,11600,0,0,11600,400,True,400,29000.0,0,0
Personal Care,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",39900,7,0,36900,26,True,26,1419230.7692307692,0,3000
Paan Corner,Clove Sensitive Toothpaste with Anti-Sensitivity & Fluoride Formulation,16000,35,3,10400,80,False,80,130000.0,31200,5600
Paan Corner,Dettol Original Germ Protection Alcohol Based Hand Sanitizer,2500,0,6,2500,50,False,50,50000.0,15000,0
Paan Corner,Colgate Visible White Toothpaste,11500,10,6,10300,100,False,100,103000.0,61800,1200
Paan Corner,Dettol SKincare Handwash Value Refill,10900,3,6,10500,750,False,750,14000.0,63000,400
Paan Corner,Savlon Herbal Sensitive Liquid Handwash Refill Pouch,11500,4,6,11000,750,False,500,14666.666666666666,66000,500
Paan Corner,Colgate Total 12 Whole Mouth Protection Toothpaste,12000,10,6,10800,120,False,120,90000.0,64800,1200
Paan Corner,Lux International Creamy White Soap Bar,3500,2,6,3400,75,False,75,45333.333333333336,20400,100
Paan Corner,Colgate Herbal Toothpaste,11400,18,2,9300,200,False,200,46500.0,18600,2100
Paan Corner,Nivea Men Deodorant Fresh Active 48h Long lasting Freshness,22500,24,6,16900,150,False,150,112666.66666666667,101400,5600
Paan Corner,Dabur Meswak Toothpaste,5800,5,6,5500,100,False,100,55000.0,33000,300
Paan Corner,Colgate Max Fresh Cooling Crystals Toothpaste,10100,5,2,9500,150,False,150,63333.333333333336,19000,600
Paan Corner,Indulekha Bhringa Hair Oil,43200,15,6,36700,100,False,100,367000.0,220200,6500
